# replication time (downloaded from Lawrence Nature 2013. Supplementary Table5)
chr	start	end	replication_time
1	61700001	61800000	367
1	61800001	61900000	399
1	61900001	62000000	325
1	62000001	62100000	264
1	62100001	62200000	296
1	62200001	62300000	196
1	62300001	62400000	338
1	62400001	62500000	417
1	62500001	62600000	469
1	62600001	62700000	422
1	62700001	62800000	378
1	62800001	62900000	331
1	62900001	63000000	254
1	63000001	63100000	394
1	63100001	63200000	474
1	63200001	63300000	426
1	63300001	63400000	415
1	63400001	63500000	544
1	63500001	63600000	621
1	63600001	63700000	625
1	63700001	63800000	565
1	63800001	63900000	542
1	63900001	64000000	477
1	64000001	64100000	401
1	64100001	64200000	330
1	64200001	64300000	200
1	64300001	64400000	298
1	64400001	64500000	413
1	64500001	64600000	492
1	64600001	64700000	441
1	64700001	64800000	384
1	64800001	64900000	503
1	64900001	65000000	587
1	65000001	65100000	581
1	65100001	65200000	544
1	65200001	65300000	456
1	65300001	65400000	396
1	65400001	65500000	249
1	65500001	65600000	181
1	65600001	65700000	321
1	65700001	65800000	351
1	65800001	65900000	441
1	65900001	66000000	511
1	66000001	66100000	528
1	66100001	66200000	494
1	66200001	66300000	535
1	66300001	66400000	596
1	66400001	66500000	539
1	66500001	66600000	463
1	66600001	66700000	410
1	66700001	66800000	333
1	66800001	66900000	270
1	66900001	67000000	395
1	67000001	67100000	465
1	67100001	67200000	552
1	67200001	67300000	601
1	67300001	67400000	692
1	67400001	67500000	635
1	67500001	67600000	673
1	67600001	67700000	625
1	67700001	67800000	581
1	67800001	67900000	466
1	67900001	68000000	324
1	68000001	68100000	271
1	68100001	68200000	182
1	68200001	68300000	228
1	68300001	68400000	345
1	68400001	68500000	346
1	68500001	68600000	475
1	68600001	68700000	524
1	68700001	68800000	438
1	68800001	68900000	411
1	68900001	69000000	477
1	69000001	69100000	601
1	69100001	69200000	758
1	69200001	69300000	885
1	69300001	69400000	909
1	69400001	69500000	929
1	69500001	69600000	939
1	69600001	69700000	974
1	69700001	69800000	994
1	69800001	69900000	980
1	69900001	70000000	949
1	70000001	70100000	935
1	70100001	70200000	917
1	70200001	70300000	854
1	70300001	70400000	695
1	70400001	70500000	578
1	70500001	70600000	516
1	70600001	70700000	492
1	70700001	70800000	445
1	70800001	70900000	396
1	70900001	71000000	379
1	71000001	71100000	431
1	71100001	71200000	566
1	71200001	71300000	781
1	71300001	71400000	851
1	71400001	71500000	870
1	71500001	71600000	907
1	71600001	71700000	955
1	71700001	71800000	983
1	71800001	71900000	1009
1	71900001	72000000	1026
1	72000001	72100000	1037
1	72100001	72200000	1058
1	72200001	72300000	1086
1	72300001	72400000	1115
1	72400001	72500000	1081
1	72500001	72600000	1136
1	72600001	72700000	1113
1	72700001	72800000	1050
1	72800001	72900000	1137
1	72900001	73000000	1144
1	73000001	73100000	1113
1	73100001	73200000	1186
1	73200001	73300000	1261
1	73300001	73400000	1252
1	73400001	73500000	1275
1	73500001	73600000	1320
1	73600001	73700000	1355
1	73700001	73800000	1336
1	73800001	73900000	1323
1	73900001	74000000	1315
1	74000001	74100000	1295
1	74100001	74200000	1270
1	74200001	74300000	1255
1	74300001	74400000	1235
1	74400001	74500000	1215
1	74500001	74600000	1188
1	74600001	74700000	1175
1	74700001	74800000	1131
1	74800001	74900000	1135
1	74900001	75000000	1115
1	75000001	75100000	1078
1	75100001	75200000	1070
1	75200001	75300000	1055
1	75300001	75400000	1023
1	75400001	75500000	1002
1	75500001	75600000	994
1	75600001	75700000	959
1	75700001	75800000	935
1	75800001	75900000	898
1	75900001	76000000	860
1	76000001	76100000	750
1	76100001	76200000	610
1	76200001	76300000	578
1	76300001	76400000	535
1	76400001	76500000	603
1	76500001	76600000	730
1	76600001	76700000	822
1	76700001	76800000	898
1	76800001	76900000	942
1	76900001	77000000	961
1	77000001	77100000	989
1	77100001	77200000	987
1	77200001	77300000	943
1	77300001	77400000	925
1	77400001	77500000	834
1	77500001	77600000	721
1	77600001	77700000	673
1	77700001	77800000	630
1	77800001	77900000	536
1	77900001	78000000	409
1	78000001	78100000	290
1	78100001	78200000	297
1	78200001	78300000	192
1	78300001	78400000	207
1	78400001	78500000	256
1	78500001	78600000	221
1	78600001	78700000	265
1	78700001	78800000	423
1	78800001	78900000	449
1	78900001	79000000	548
1	79000001	79100000	671
1	79100001	79200000	636
1	79200001	79300000	732
1	79300001	79400000	854
1	79400001	79500000	903
1	79500001	79600000	919
1	79600001	79700000	903
1	79700001	79800000	913
1	79800001	79900000	954
1	79900001	80000000	1020
1	80000001	80100000	1051
